claim_id,hypothesis,exact_claim,verdict,evidence_grade,claim_layer,primary_evidence,comparison_fairness,valid_scope,major_confounders_or_limits,contrary_or_narrowing_evidence,allowed_wording,forbidden_wording
"C01","H1","S27 在 fresh COCO-512 上复现旧 backbone 的低 SNR matched-diffusion fusion 局部增益：相对 B1 +0.092662 dB PSNR/-0.007922 LPIPS，相对等参数 control +0.065799 dB。","QUALIFIED","B","LOCAL_CONCLUSION","reports/s19_exact_fallback_fresh_replication_stage_result_2026-07-21.md","同图同路由；fusion/control 均450115参数；唯一关键差异为第二RGB observation；path/SHA无重叠。","旧19,712-real backbone；COCO 512图；AWGN 1/4/7dB。","不是现代强backbone、外部benchmark或final test。","效应仅约0.09dB；后续S33仅换backbone的提升更大。","matched diffusion 在该旧合同下提供等容量B0-only CNN未完全替代的信息。","diffusion 已在当前S33或外部benchmark上形成强增益。"
"C02","H1","S27 的 13/19 dB exact fallback 从结构上消除了该分支负迁移。","SUPPORTED","A","MEASUREMENT","reports/s19_exact_fallback_fresh_replication_stage_result_2026-07-21.md","逐像素最大差为0；指标差为0。","冻结S27路由的13/19dB。","不说明低SNR分支安全，也不外推其他路由。","低SNR仍有new semantic errors。","该冻结路由在13/19dB精确返回B1。","所有SNR或所有adaptive diffusion都不会负迁移。"
"C03","H1","S27 改善辅助多数分类failure的净值，但不是 semantic-safe。","QUALIFIED","B","LOCAL_CONCLUSION","reports/s19_exact_fallback_fresh_replication_stage_result_2026-07-21.md","同总体逐样本配对；majority failure 1561/2560→1517/2560。","该COCO总体和冻结分类器投票定义。","majority failure是代理；类别覆盖与分类器误差有限。","相对B1仍有60 new/104 repair。","辅助语义代理呈净修复。","零新增语义错误或已证明semantic-safe。"
"C04","H2","S33 在严格16,384-real policy-dev合同下聚合优于DiffJSCC内嵌author-JSCC。","QUALIFIED","B","LOCAL_CONCLUSION","reports/strong_jscc_16384_equal_rate_stage_result_2026-07-21.md","同64图×3seeds×5SNR；同canonical AWGN prefix；约31M参数；无sender side-info。","256² Imagenette policy-dev；离散五档AWGN。","训练数据/recipe不同；总体已知且重复用于开发。","优势由1/4/7dB驱动；13/19dB LPIPS更差；19dB未过逐档PSNR非劣。","S33在该开发总体上聚合显著优于author-JSCC。","S33逐SNR逐指标全面优于author-JSCC或已获final胜利。"
"C05","H2","S33 在每个SNR、每个指标都优于author-JSCC。","REFUTED","A","LOCAL_CONCLUSION","reports/strong_jscc_16384_equal_rate_stage_result_2026-07-21.md","与C04相同。","逐SNR比较。","聚合会掩盖高SNR边界。","13/19dB LPIPS显著更差；19dB PSNR CI跨0且未过-0.10dB gate。","聚合优势主要来自低中SNR；逐档全面胜出的科学命题在该合同下被反驳。","逐档全面胜出。"
"C06","H2","S34A 只支持 equal-budget 下S33胜Base-SA、与CM-SA构成Pareto。","QUALIFIED","B","LOCAL_CONCLUSION","reports/swinjscc_equal_budget_stage_result_2026-07-22.md","同COCO、16,384 real、12 epochs/equal-step、canonical AWGN；CM约31M参数。","64图policy-dev equal-budget。","两Swin臂epoch9-12仍提升；未执行收敛extension。","S33-CM PSNR -0.0659 dB且未过非劣；CM的MS-SSIM/LPIPS更好。","S33 equal-budget胜Base；面对CM为Pareto。","S33已达到或超过充分收敛Swin上限。"
"C07","H2","S33 强于 SwinJSCC。","REFUTED","A","LOCAL_CONCLUSION","paper_idea1b/A1_DISCRIMINATIVE_RESULT.md","Kodak/CLIC三臂同tile、同symbols、同逐图actual CBR、同noise SHA。","Kodak24×5×3；CLIC428×5×1；高分辨率判别式主表。","CLIC仅1个channel seed；模型训练成熟度可能不同。","Kodak对CM -0.2003dB；CLIC对Base/CM -0.2631/-0.4909dB，感知结构总体也更差。","S33强于Swin的科学命题在已测外部合同上被反驳；S33是低代价但质量较低的判别式端点。","S33是Swin-level SOTA或强于SwinJSCC。"
"C08","H2","S33 相对Swin有2.32-2.45×延迟优势和约一半峰值显存，但以质量损失为代价。","QUALIFIED","C","MEASUREMENT","paper_idea1b/A1_DISCRIMINATIVE_RESULT.md","最大2048²图；batch1；同运行时和输入合同。","该硬件、实现和大图smoke。","不是跨硬件定律；steady-state/具体实现相关。","A1同时显示S33质量较低。","S33位于效率-质量Pareto的低成本侧。","效率优势等同整体质量优势。"
"C09","H3","S33与DiffJSCC在256²共同总体上是exact-rate fidelity-perception Pareto。","QUALIFIED","B","LOCAL_CONCLUSION","reports/s34c_lite_rate_transparency_result_2026-07-23.md","同960键/noise；两者均16,384 real且无sender text/edge；caption由接收端生成。","Imagenette policy-dev 64×3×5。","S33用COCO离散五档训练；DiffJSCC用OpenImage/0-14dB；外部先验和计算不匹配。","S33 PSNR +2.8677dB，DiffJSCC LPIPS更好0.019762；failure差CI跨0。","同信道码率下二者构成保真-感知Pareto。","S33全面战胜DiffJSCC或DiffJSCC靠发送文本作弊。"
"C10","H3","当前SGD-JSCC结果不能进入等码率主排名。","SUPPORTED","A","LOCAL_CONCLUSION","reports/s34c_lite_rate_transparency_result_2026-07-23.md","main+edge 19,712 real；最低caption计费后≥21,856 real；perfect captions未过信道；float/uint8路径也不同。","当前作者released协议。","真实可靠caption传输成本可能更高。","相对16,384 real多5,472 real/+33.40%。","SGD只能作non-ranking paper upper。","用SGD低LPIPS宣布等码率冠军或判定S33公平落后。"
