canonical_id,aliases,model_scope,architecture_or_role,training_contract,real_symbols,checkpoint_path,sha256,status,used_by,identity_caveat,evidence
M0_HR_COCO_C8,"S2-HR; old B0; formal COCO-256 DeepJSCC",project,"early high-resolution DeepJSCC c8",COCO2017 fixed-7dB early baseline,CBR_0.17,outputs/train/s2_deepjscc_coco256_awgn_snr7_cbr017/checkpoints/best.pt,not_centrally_recorded,"frozen usable; latest.pt forbidden",S2-S6 early pipeline,"best is epoch73; epoch89-99 NaN; do not substitute latest.pt",EXPERIMENTS.md:572-597
AUTHOR_RATE_JSCC_19712,"external-author-rate DeepJSCC; S19 B0",project_adapter,"Deep-JSCC-PyTorch c3 masked/prefix backbone",COCO full continuation under old exact-19712 contract,19712,outputs/train/external_author_rate_deepjscc_c3_mask19712_fullcoco_continue/checkpoints/best.pt,bca5b67a3bca93f17d23688cc5ec2d30ffe8790191e07fbf41926649cf1bb606,"frozen; latest.pt forbidden",S17-S30 old-current pipeline,"not S33 and not DiffJSCC author-JSCC; aliases are easy to confuse",configs/s19_diffusion_fusion_ablation.yaml
B1_S16_19712,"B1; lowrate M3 anchor; exact-rate B1",project,"receiver residual/anchor model on old B0",COCO low-rate exact-19712 training,19712,outputs/EXP-S16-B1-001/checkpoints/best.pt,7a295976105a9c43c25604c9070e676d25512c7a09b5c50655b6671477b7615a,"frozen",S16-S29,"historical strongest anchor before S31/S33; results do not transfer automatically to S33",configs/s19_diffusion_fusion_ablation.yaml
LATDIFF_S17_DECODER,"S17 latent diffusion; identity-controlled diffusion observation",project,"6-step decoder-aware latent diffusion",channel-state-matched AWGN old-backbone contract,19712,outputs/EXP-S17-LATDIFF-004-DECODER/checkpoints/best.pt,5b708117a5d25cad0a5909a24f85bb32d1b5dc11c83146ba8c98fad5ee35d98f,"frozen",S18-S19-S26-S27,"auxiliary receiver observation; not a standalone S33 refiner",configs/s19_diffusion_fusion_ablation.yaml
S19_CONTROL,"capacity-matched B0-only control",project,"dual-input receiver residual CNN with duplicated B0 auxiliary",paired S19 train/selection contract,19712,outputs/EXP-S19-FUSION-001/checkpoints/control_best.pt,c9eab7648bd0120e5db2820b7a94edd13251ed8e1050cec6edb6f6187fbdbcf6,"frozen",S19-S26-S27,"causal control for diffusion-information claim; same communication word as fusion",configs/s19_diffusion_fusion_ablation.yaml
S19_FUSION,"S19 low-SNR fusion; routed diffusion fusion; old current component",project,"dual-input receiver residual CNN using B0+identity-controlled diffusion",paired S19 train/selection contract,19712,outputs/EXP-S19-FUSION-001/checkpoints/fusion_best.pt,e7577d59e9c2362e40feb72bb030c1c7b9302b707115d3e000c9c55bbb8942c5,"frozen",S19-S26-S27-S28,"S26/S27 method is routing over this checkpoint and exact B1; not a new checkpoint",configs/s27_s19_exact_fallback_fresh_replication.yaml
STRONG_JSCC_S31B_19712,"S31b strong B0; S32 strong",project,"31.12M four-level encoder/decoder with bilateral SNR conditioning",COCO train2017; FP32 continuation; MSE-only; discrete five-SNR,19712,outputs/train/EXP-S31B-STRONG-JSCC-FP32-002/checkpoints/best.pt,2f8972a943599bae016f6f64550ca81ea5f861654d9ace6931aebe6cf9057ca8,"permanently frozen",S32,"beats author-JSCC only under higher-symbol budget; not exact-rate",PROGRESS.md:199
STRONG_JSCC_S33B_16384,"S33; S33B; s33_strong; current frozen backbone",project,"31.03M four-level native-rate bilateral SNR-conditioned JSCC",COCO train2017; random init; FP32 4+8 epochs; MSE-only; discrete five-SNR,16384,outputs/train/EXP-S33B-STRONG-JSCC-16384-FP32-001/checkpoints/best.pt,2daad9e73df9bca049e02800d32e4f34298bab6452dcf32634f6320881dd5bfb,"permanently frozen",S33-S34A-A1-S34C-S34D-S35R-RDD-CVaR_P0,"policy-dev win over author does not imply Swin win; A1 makes it low-cost lower-quality endpoint",paper_idea1b/configs/a1_discriminative_benchmark.yaml
SWIN_BASE_S34A,"official Base-SA; swin_official_base_sa",project_trained_external_arch,"official SwinJSCC Base-SA 28.18M",COCO equal-step FP32 12 epochs; discrete five-SNR,16384,outputs/train/EXP-S34A-SWINJSCC-BASE-SA-EQUAL-BUDGET-001/checkpoints/best.pt,d645e1567fb59c368dd1019129f92080d26f65938e2d0ddc0598f8710ee79f75,"frozen equal-budget endpoint",S34A-A1-RDD_CLIC,"best epoch12 and extension gate triggered; not proven converged",paper_idea1b/configs/a1_discriminative_benchmark.yaml
SWIN_CM_S34A,"capacity-matched CM-SA; swin_capacity_matched_sa",project_trained_external_arch,"capacity-matched SwinJSCC SA 31.35M",COCO equal-step FP32 12 epochs; discrete five-SNR,16384,outputs/train/EXP-S34A-SWINJSCC-CM-SA-EQUAL-BUDGET-001/checkpoints/best.pt,751ef505f1bf871130dfd07b36759884e3edb5e5b3c5e76c7184f294a6d26160,"frozen equal-budget endpoint",S34A-A1-RDD_CLIC,"best epoch12 and extension gate triggered; not proven converged",paper_idea1b/configs/a1_discriminative_benchmark.yaml
DIFFJSCC_OPENIMAGE_C16,"DiffJSCC; official DiffJSCC; author-JSCC frontend embedded",external,"DeepJSCC+BLIP2+OpenCLIP+ControlNet+SD2.1+VAE",author OpenImage C16 checkpoint; training SNR 0-14dB,16384,third_party/DiffJSCC/checkpoints/DiffJSCC-OpenImage-CBR-1-96/model.ckpt,ae1e6df0b706d09857cfa02d399f94cc171d8d0ce44f851d96cb032bd7dec579,"hash-frozen external asset",S30-S34C-S34D-RDD,"CBR is 1/96 vs internal 512 grid but 1/24 vs project 256 source; caption receiver-generated; full chain and embedded author-JSCC must be distinguished",configs/s30_diffjscc_external_comparison.yaml
SGDJSCC_RELEASED_BUNDLE,"SGD; SGD-JSCC paper upper; sgd_jscc",external,"JSCC+edge JSCC+MuGE+BLIP2+CLIP+ControlNet diffusion bundle",author released inference assets; fixed 10dB JSCC; no released trainer,"19712_executed; >=21856_with_caption",third_party/SGDJSCC/checkpoint/,"JSCC=455cb603d071d9aee7f6e3704c3228f543178453bc7c25ffcbfd95e5ab1915fe;diffusion=3c338aff5b69665629fd7bdc338f6becdc5c61fde1438ad7d1708be0f12892d4;controlnet=3049b9d81835c6459238c78fdb07ebdf963877131251095fa695daa02920db74;muge=0db6b14550925cbd4ca12160f9f19c78302b0814f560695d6ded37bf0eb3c683","hash-frozen non-ranking external bundle",S20-S28-S34C-S34D-S35R_P0-RDD,"not one checkpoint; perfect captions and extra rate; quality cannot enter exact-rate ranking",configs/external_sgdjscc_native_smoke.yaml
TCLS_IMAGENETTE,"T_cls; frozen semantic classifier",project_metric,"Imagenette scratch classifier used as evaluator",frozen split/training contract,N_A,outputs/analysis/imagenette_scratch_classifiers/T_cls/checkpoints/best.pt,b846c8d81dc3dd604f916c82cb2ca5584ecaf88191e1a3009da1b81e3f00924d,"frozen evaluator",S20-S34D_semantic,"metric model not a JSCC method; clean-correct/policy-dev scope matters",configs/s30_diffjscc_external_comparison.yaml
RAYLEIGH_MATCHED_MEAN_P1,"EXP-CVAR-P1-RAYLEIGH-MATCHED-MEAN-001; repeated-fading mean control",project,"S33-initialized channel-adaptive JSCC trained for block fading",COCO train2017; Rayleigh block fading+ZF; encoder nominal SNR; decoder unclamped effective SNR; MSE-only,16384,outputs/train/EXP-CVAR-P1-RAYLEIGH-MATCHED-MEAN-001/checkpoints/best.pt,4a52028480c7317c7084c7922af7d22e216b3798613036b278131122e44dbc20,"frozen diagnostic baseline",CVaR_P1,"not CVaR-trained; no semantic evaluation; does not enter AWGN mainline",reports/cvar_p1_rayleigh_matched_result_2026-07-31.md
S35R_LIGHT_REFINER,"P1 light receiver refiner; planned residual U-Net",planned,"2M-6M SNR-FiLM residual U-Net; training-only PatchGAN",pre-registered only; no smoke or training,0_extra,N_A,N_A,"not instantiated",S35R_P1,"must not be described as a model/result until separately authorized smoke and training",configs/s35r_p1_light_receiver_refiner_probe.yaml
